LAT,LON,YEAR,MONTH,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,ALLSKY_SFC_SW_DWN,WS2M,TS,EVLAND,GWETROOT
14.5,122.5,2011,FEB,27.78,24.31,7.34,81.83,15.61,6.01,26.25,4.5,0.97
15.5,122.5,2011,FEB,27.03,24.38,2.52,81.0,16.72,6.07,26.51,,
13.5,122.5,2012,FEB,29.21,23.74,11.13,84.55,16.62,5.09,26.4,4.23,0.98
14.5,122.5,2012,FEB,27.61,25.24,14.38,83.14,14.83,6.01,26.59,4.32,0.99
15.5,122.5,2012,FEB,27.72,25.64,7.6,80.81,14.82,6.04,27.2,,
13.5,122.5,2013,FEB,28.97,24.35,8.33,82.74,17.07,6.21,26.43,4.75,0.9
14.5,122.5,2013,FEB,27.34,25.69,7.98,81.73,16.61,6.81,26.58,4.73,0.94
15.5,122.5,2013,FEB,27.34,25.77,4.03,80.49,18.22,6.68,27.01,,
13.5,122.5,2014,FEB,29.05,22.83,2.17,78.95,19.03,4.77,26.26,4.01,0.77
14.5,122.5,2014,FEB,27.43,24.03,3.08,79.98,17.38,5.26,26.01,4.06,0.9
15.5,122.5,2014,FEB,27.35,23.74,1.42,79.55,17.93,5.03,26.15,,
13.5,122.5,2015,FEB,28.74,22.85,3.39,80.09,18.8,5.48,25.69,4.67,0.86
14.5,122.5,2015,FEB,26.97,24.17,3.28,78.59,17.2,6.04,25.89,4.16,0.89
15.5,122.5,2015,FEB,26.8,24.36,1.59,77.56,17.48,5.89,26.26,,
13.5,122.5,2016,FEB,28.73,23.52,6.4,82.63,18.17,5.73,26.35,4.65,0.88
14.5,122.5,2016,FEB,27.68,24.59,5.42,80.79,16.21,6.54,26.81,4.23,0.9
15.5,122.5,2016,FEB,27.73,24.24,1.81,79.9,16.65,6.41,26.94,,
13.5,122.5,2017,FEB,28.46,22.29,4.23,82.7,17.04,6.05,25.79,4.66,0.93
14.5,122.5,2017,FEB,27.0,23.89,6.34,81.06,15.19,6.85,26.15,4.64,0.97
15.5,122.5,2017,FEB,27.05,24.05,3.01,79.3,15.73,6.9,26.43,,
13.5,122.5,2018,FEB,29.05,24.05,6.86,83.2,17.42,5.06,26.68,4.75,0.96
14.5,122.5,2018,FEB,27.39,25.09,6.26,82.65,16.26,5.85,26.83,4.58,0.97
15.5,122.5,2018,FEB,27.71,25.03,2.15,82.28,17.58,5.91,27.21,,
